,SKU,Description,,,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20
"Inventory, end - FCA47-240/277V",FCA47-240/277V,Voltage Adapter 240/277V for new VX,,,,1418,1414,1412,1407,1402,1385,1365,1354,1342,1328,26,-31,1060,1056,1262,1471,1464,1457,1950,1943,1943,1943,1943,1943,1943,1943
"Inventory, end - X9-RF-AOS",X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,,,,3159,2923,2891,1949,1491,1166,840,2600,1937,3584,690,230,-530,1428,5163,4709.1,8367.65684,6930.21368,5992.77052,4842.815992,3261.515992,3261.515992,3261.515992,3261.515992,3261.515992,3261.515992
"Inventory, end - X3-NC-OS",X3-NC-OS,Wired Remote Occupancy Sensor,,,,6411,2755,2903,2891,1603,1446,804,495,2257,1911,2372,2253,266,-260,3120,7112,4698.1,8356.65684,6919.21368,5981.77052,4842.815992,3261.515992,3261.515992,3261.515992,3261.515992,3261.515992
"Inventory, end - X9-RF-DWS",X9-RF-DWS,Wireless Door/Window Switch,,,,-74,-7,-746,-728,-63,-27,4,-762,-55,-337,-343,-313,-254,2545,1141,1338.78,3522.973192,2852.166384,2681.359576,2144.71413,1406.77413,1406.77413,1406.77413,1406.77413,1406.77413,1406.77413
"Inventory, end - X9-RF-Receiver",X9-RF-Receiver,Aux. Sensor Receiver,,,,5654,5624,5584,4438,4111,4022,4022,3981,3284,6304,8235,8481,6681,6651,6883,9899.64,10923.3673,9390.094592,7856.821888,6170.221914,3850.981914,3850.981914,3850.981914,3850.981914,3850.981914,3850.981914
"Inventory, end - 900-00007-00",900-00007-00,ZX Wireless Wall Unit,,,,0,0,0,0,300,300,800,298,537,537,504,1092,3352,3352,3900,3658.0638,3373.450054,3088.836309,2804.222563,2574.231657,2257.971657,1941.711657,1682.961657,1366.701657,1034.628657,685.9520074
"Inventory, end - 900-00008-00",900-00008-00,ZX Wired Wall Unit,,,,0,0,0,0,196,194,556,1050,1179,1178,1175,1471,1470,4170,3625,3463.7092,3273.966703,3084.224206,2894.481709,2741.154438,2530.314438,2319.474438,2146.974438,1936.134438,1714.752438,1482.301338
"Inventory, end - 900-00009-00",900-00009-00,ZX High Voltage Control Card,,,,0,0,0,0,200,200,200,200,200,200,200,200,150,150,0,-48.38724,1394.690011,1337.767262,1280.844513,1234.846331,1171.594331,1108.342331,1056.592331,993.3403315,926.9257315,857.1904015
"Inventory, end - 900-00010-00",900-00010-00,ZX Low Voltage Control Card,,,,0,0,0,0,300,300,300,298,297,297,264,274,84,288,2716,2522.45104,2294.760043,2067.069047,1839.37805,1655.385326,1402.377326,1149.369326,942.3693259,689.3613259,423.7029259,144.7616059
"Inventory, end - 900-00011-00",900-00011-00,ZX Remote Sensor,,,,0,0,0,0,210,210,210,206,197,195,182,190,290,290,1805,1772.74184,1734.793341,1696.844841,1658.896342,1628.230888,1586.062888,1543.894888,1509.394888,1467.226888,1422.950488,1376.460268
"Inventory, end - 900-00012-00",900-00012-00,ZX Root Node,,,,0,0,0,0,15,15,115,115,115,115,115,115,20,20,19,74.93546,65.44833514,55.96121029,46.47408543,38.80772191,28.26572191,17.72372191,9.098721912,-1.443278088,-12.51237809,-24.13493309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planning Orders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,Description,MOQ,Lot size,,43373,43404,43434,43465,43496,43524,43555,43585,43616,43646,43677,43708,43738,43769,43799,43830,43861,43890,43921,43951,43982,44012,44043,44074,44104,44135
Planning Orders - 900-00005-01,900-00005-01,'New VX with ZigBee Option Product Wired White,96,96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3600,0,1440,4224,9984,14208,17088,23232,23712,24096
Planning Orders - 900-00005-00,900-00005-00,New VX with ZigBee Option Product Wireless White,96,96,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7424,0,3648,7872,16608,23040,27456,36864,37536,38304
Planning Orders - 900-00006-00,900-00006-00,'New VX 6 Relay Control Card,240,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5000,0,0,0,0,0,0,0,0,0
Planning Orders - WX-EMRT1,WX-EMRT1,Friedrich Thermostat Wired White new VX,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,1100,1500,1800,2100,2500,2800,3100,3500,3500,3500
Planning Orders - WX-EMWRT1,WX-EMWRT1,Friedrich Thermostat Wireless White new VX,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - WX-RS485,WX-RS485,Friedrich Thermostat Wired White new VX,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,100,300,600,900,1200,1200,1200
Planning Orders - WX-RS485-W with V8-AC-CC-RSW,WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,-800,0,400,1100,1700,2300,3000,3600,3600,3600
Planning Orders - 900-00002-00,900-00002-00,Control Card for WX-EMWRT1,240,80,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,240,240,240,240,240,240,240,240,240,240
Planning Orders - AC-CC-6R-REC,AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,216,72,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000,0,0,216,2232,3528,4104,6192,6408,6624
Planning Orders - ZB-VX-TR-U-W/B,ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,160,160,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,800,2400,3520,4000,5760,5920,6080
Planning Orders - 900-00003-01,900-00003-01, VX Wired Thermostat,100,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - 900-00003-00,900-00003-00,VX Wireless Thermostat,100,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - 900-00001-11,900-00001-11,New VX Wired Thermostat Black,100,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - 900-00001-10,900-00001-10,New VX Wireless Thermostat Black,100,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,180,180,180,180,180,180,180,180,100,0
Planning Orders - FCA46-120V,FCA46-120V,Voltage Adapter for 120V Systems,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - FCA46-240/277V,FCA46-240/277V,Voltage Adapter for  240/277V Systems,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - FCA47-120V,FCA47-120V,Voltage Adapter 120V for new VX,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0
Planning Orders - FCA47-240/277V,FCA47-240/277V,Voltage Adapter 240/277V for new VX,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,0,0,0,0,0,0
Planning Orders - X9-RF-AOS,X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,1088,192,1536,0,0,0,0,0
Planning Orders - X3-NC-OS,X3-NC-OS,Wired Remote Occupancy Sensor,100,100,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planning Orders - X9-RF-DWS,X9-RF-DWS,Wireless Door/Window Switch,192,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,640,256,832,0,0,0,0,0
Planning Orders - X9-RF-Receiver,X9-RF-Receiver,Aux. Sensor Receiver,480,480,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,960,1440,3360,0,0,0,0,0
,900-00007-00,ZX Wireless Wall Unit,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
,900-00008-00,ZX Wired Wall Unit,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00009-00,ZX High Voltage Control Card,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00010-00,ZX Low Voltage Control Card,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,390,420
,900-00011-00,ZX Remote Sensor,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00012-00,ZX Root Node,100,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100
Planning Orders - Raw Quantities,,,,Outgoing,,Formulas are Designed to place order so that end inventory of month following lead time = factor*outgoing,,,,,,,,,,,,,,,,,,,,,,,,,
,SKU,,Lead Time,Factor,,43373,43404,43434,43465,43496,43524,43555,43585,43616,43646,43677,43708,43738,43769,43799,43830,43861,43890,43921,43951,43982,44012,44043,44074,44104,44135
,900-00005-01,New VX with ZigBee Option Product Wired White,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1407.41112,4167.602051,9918.111235,14134.91124,17028.95124,23211.57324,23633.25324,24076.01724
,900-00005-00,New VX with ZigBee Option Product Wireless White,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522.098568,0,3629.11668,7860.403077,16577.16685,22993.36685,27425.42685,36790.35985,37513.87985,38269.02585
,900-00006-00,'New VX 6 Relay Control Card,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,WX-EMRT1,Friedrich Thermostat Wired White new VX,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760,1092,1424,1756,2088,2420,2752,3084,3416,3416,3416
,WX-EMWRT1,Friedrich Thermostat Wireless White new VX,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,WX-RS485,Friedrich Thermostat Wired White new VX,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,280,558,836,1114,1114,1114
,WX-RS485-W with V8-AC-CC-RSW,Friedrich Thermostat Wireless White new VX with V8-AC-CC-RSW,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,1604,0,372,1006,1640,2274,2908,3542,3542,3542
,900-00002-00,Control Card for WX-EMWRT1,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,18,21,24,27,30,33,36,39,39,39
,AC-CC-6R-REC,6 relays CC with receiver flashed to X9-RF-AOS,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.3180736,2199.547206,3464.587206,4102.759206,6187.585806,6377.341806,6576.585606
,ZB-VX-TR-U-W/B,ZigBee Module for VX-TR-U-W/B,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.208992,652.431728,2377.622672,3431.822672,3963.632672,5700.988172,5859.118172,6025.154672
,900-00003-01, VX Wired Thermostat,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00003-00,VX Wireless Thermostat,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00001-11,New VX Wired Thermostat Black,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00001-10,New VX Wireless Thermostat Black,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,165,165,165,165,165,165,74,0
,FCA46-120V,Voltage Adapter for 120V Systems,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCA46-240/277V,Voltage Adapter for  240/277V Systems,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCA47-120V,Voltage Adapter 120V for new VX,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FCA47-240/277V,Voltage Adapter 240/277V for new VX,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,X9-RF-AOS,Wireless Aux. Sensor with Occ. Sensor,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050.813488,188.347592,1482.384008,0,0,0,0,0
,X3-NC-OS,Wired Remote Occupancy Sensor,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,X9-RF-DWS,Wireless Door/Window Switch,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.6462944,203.1622096,807.0458704,0,0,0,0,0
,X9-RF-Receiver,Aux. Sensor Receiver,2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748.8361984,1208.81801,3106.738086,0,0,0,0,0
,900-00007-00,ZX Wireless Wall Unit,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.40129264
,900-00008-00,ZX Wired Wall Unit,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00009-00,ZX High Voltage Control Card,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00010-00,ZX Low Voltage Control Card,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.2543941,386.5551941,413.1210341
,900-00011-00,ZX Remote Sensor,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,900-00012-00,ZX Root Node,2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98527809,22.52727809,29.76237809,45.21893309,46.27313309,47.38004309
